Name,Pass,Points Final,Points Pass,Grade,Details,Wire,Tgroove,Case,Wind,Modex,Airframe,Carrier Type,Carrier Name,Theatre,Mission Time,Mission Date,OS Date
[MA] Fritter,21,2,2.0,--,F(H)_LUR_X SLO_LUR_IM  FLULIC (F)_LUL_AR,2,18.4,1,26.2,200,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:20:29+0,1998/3/11,Sat Oct 12 00:05:42 2019
Bucketeye,1,n/a,2.0,WOP,n/a,n/a,n/a,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:00:06+0,2006/2/24,Sun Aug 25 21:29:01 2019
Bucketeye,2,n/a,1.0,WO,_F_HLURX _SLO_HIM  _SLOLO_(LUL)IC _FH_AR,n/a,n/a,1,26.2,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:03:39+0,2006/2/24,Sun Aug 25 21:32:34 2019
Bucketeye,3,n/a,2.0,WOP,n/a,n/a,n/a,1,25.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:04:45+0,2006/2/24,Sun Aug 25 21:33:40 2019
Bucketeye,4,n/a,1.0,WO,LIG,n/a,n/a,1,27,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:07:59+0,2006/2/24,Sun Aug 25 21:36:54 2019
Fritter,1,2,2.0,--,_F_(LO)LURX SLOLOLURIM  /(FLO)LULIC (SLOH)LULAR,3,22.7,1,27,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:04:54+0,2006/2/24,Thu Aug 15 23:19:23 2019
Fritter,2,3,3.0,(OK),FLOX F(LOLUL)IM  (F)HLULIC (SLO)HLULAR,4,22.6,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:05:07+0,2006/2/24,Fri Aug 16 15:26:26 2019
Fritter,3,3,3.0,(OK),F(LO)LURX SLO(LO)IM  SLO(H)LULIC HLULAR,4,23.8,1,26.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:09:08+0,2006/2/24,Fri Aug 16 15:30:27 2019
Fritter,4,0,0.0,CUT,F_LO_(LUR)X /_F_LO(LUR)IM  SLOHLULIC _SLOLUL_AR,2,21.6,1,26.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:13:12+0,2006/2/24,Fri Aug 16 15:34:32 2019
Fritter,5,2,2.0,--,F_LUR_X F(H)_LUR_IM  SLO(H)IC (SLO)AR,3,23,1,27.5,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:00:42+0,2006/2/24,Sat Aug 17 21:12:29 2019
Fritter,6,2,2.0,--,F(H)_LUR_X (F)_LUR_IM  (F)HLULIC _H_LULAR,4,22.1,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:04:45+0,2006/2/24,Sat Aug 17 21:16:32 2019
Fritter,7,2,2.0,--,_F_LO_LUR_X _F_LO_LUR_IM  (F)HLURIC HLULAR,3,21.8,1,26.6,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:08:53+0,2006/2/24,Sat Aug 17 21:20:41 2019
Fritter,8,3,3.0,(OK),FLURX FLURIM  SLOHIC (SLO)H(LUL)AR,4,22.6,1,26.1,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:12:37+0,2006/2/24,Sat Aug 17 21:24:24 2019
Fritter,9,2,2.0,--,_FLUR_X _SLOLO_LURIM  /SLO_LO_LULIC HLULAR,3,23.9,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:16:48+0,2006/2/24,Sat Aug 17 21:28:35 2019
Fritter,10,n/a,1.0,WO,_F_(H)_LUR_X FH_LUR_IM  HLULIC _SLOH_LULAR,n/a,n/a,1,25.8,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:07:50+0,2006/2/24,Sun Aug 18 21:18:23 2019
Fritter,11,1.5,2.0,--,_F_LURX FLURIM  SLO(HLUL)IC (SLO)H(LUL)AR,3,22.3,1,25.7,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:10:07+0,2006/2/24,Sun Aug 18 21:20:41 2019
Fritter,12,2,2.0,--,_F_(H)_LUR_X FH_LUR_IM  (FHLUL)IC (F)H(LUL)AR,3,22.2,1,26.9,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:13:40+0,2006/2/24,Sun Aug 18 21:24:14 2019
Fritter,13,n/a,-1.0,WOFD,n/a,n/a,n/a,1,26.7,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:17:50+0,2006/2/24,Sun Aug 18 21:28:23 2019
Fritter,14,2,2.0,--,F_LUR_X FLURIM  (SLOHLUL)IC SLOH(LUL)AR,3,22.9,1,28.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:20:15+0,2006/2/24,Sun Aug 18 21:30:49 2019
